Scenario ID,Threat Count,Balanced Score,Aggressive Score,Fortress Score,Economy Score,Ambush Score,Fortress+Economy Score,Aggressive+Economy Score,Balanced Status,Aggressive Status,Fortress Status,Economy Status,Ambush Status,Fortress+Economy Status,Aggressive+Economy Status
001,7,102.75,63.1,99.6,101.7,96.1,96.8,94.35,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
002,11,104.5,57.4,94.35,102.4,96.1,102.05,98.9,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
003,8,102.05,48.1,98.55,99.6,110.8,99.95,98.55,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
004,20,94.0,-212.6,95.75,95.75,94.35,88.75,98.55,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
005,10,94.0,-215.6,95.4,100.3,88.75,103.8,102.4,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
046,4,101.7,-200.9,105.55,101.0,96.45,95.75,99.95,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
047,18,95.75,-221.3,101.7,90.15,102.4,99.95,96.45,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
048,5,101.7,-208.1,103.8,92.95,101.0,90.15,96.45,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
049,8,101.0,-215.6,100.3,95.75,96.45,91.9,102.4,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
050,6,95.05,101.7,95.4,98.55,101.7,102.75,104.15,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
051,10,92.95,-213.2,90.15,98.2,98.9,92.6,94.0,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
052,30,94.0,-211.7,98.55,99.25,97.15,102.75,95.4,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
053,2,101.35,57.7,101.0,100.3,99.95,96.45,98.2,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
054,4,99.6,94.35,96.45,103.1,100.65,94.35,92.95,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
055,10,93.65,-202.7,96.1,99.25,98.9,101.0,101.35,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
056,2,101.7,56.5,96.45,97.5,103.1,92.25,100.3,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
057,15,96.1,-216.5,98.9,97.5,96.45,101.35,97.5,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
058,8,101.7,99.25,93.3,97.85,97.85,106.6,93.3,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
059,6,98.2,-213.2,102.05,91.55,99.95,95.75,96.45,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
060,21,100.3,-219.8,97.15,92.95,101.35,99.6,96.45,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
061,6,50.2,-206.6,44.8,52.9,49.0,44.5,47.2,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
062,4,98.9,101.7,97.5,106.25,100.3,98.55,96.8,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
063,10,103.45,-216.5,101.35,98.55,98.9,97.85,102.05,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
064,10,98.9,-213.2,95.4,97.85,96.8,97.85,92.6,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
065,10,102.05,-233.9,101.0,99.6,95.4,98.9,92.6,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
066,3,107.3,55.3,100.65,97.5,96.8,94.7,93.3,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
067,15,98.9,102.4,97.85,104.5,99.95,98.2,101.7,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
068,10,98.55,-211.4,100.3,102.05,89.8,100.3,99.95,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
069,6,97.5,-212.6,89.8,95.4,101.7,99.6,98.55,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
070,20,99.25,-224.9,95.75,101.35,97.85,95.05,96.1,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
071,6,95.75,56.5,98.9,93.3,98.55,95.4,96.1,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
072,20,101.0,-234.8,102.05,102.4,97.5,105.9,101.0,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
073,2,99.95,96.8,100.65,91.9,98.2,97.85,100.3,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
074,15,96.1,-212.3,94.0,95.75,98.55,98.9,102.4,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
075,10,100.65,-193.4,99.25,98.2,98.9,93.3,95.05,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
076,2,99.25,57.1,98.2,98.55,95.75,96.8,101.0,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
077,12,97.5,-211.4,98.9,101.35,99.95,99.25,97.85,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
078,20,95.75,-214.7,98.55,99.25,105.2,96.1,103.1,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
079,12,102.75,-231.5,96.1,98.2,102.75,102.4,96.1,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
080,3,101.35,101.35,98.9,96.1,99.25,105.9,106.25,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
081,20,95.4,-233.6,99.95,93.3,-500.0,95.75,-500.0,SAFE,DESTROYED,SAFE,SAFE,DESTROYED,SAFE,DESTROYED
082,4,98.55,-196.7,94.35,95.4,98.2,94.0,108.35,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
083,8,94.0,45.4,98.2,96.8,93.3,99.6,91.55,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
084,25,95.4,-204.5,89.45,99.25,104.85,101.7,97.5,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
085,10,103.45,-214.7,98.2,94.0,98.2,96.1,102.05,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
086,4,94.0,53.8,100.3,103.8,98.2,94.7,97.85,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
087,15,99.95,-207.8,103.45,105.9,93.65,99.25,102.4,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
088,10,98.9,-218.3,102.05,92.25,95.4,95.05,103.8,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
089,6,97.15,-223.4,93.65,101.7,99.6,103.1,95.4,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
090,8,98.2,-225.2,96.8,101.0,99.25,96.45,49.9,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
091,10,96.45,56.2,102.75,98.55,104.15,96.1,102.75,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
092,6,96.8,-211.1,98.9,97.15,98.2,95.4,104.85,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
093,5,97.5,99.6,99.95,103.8,97.5,102.4,95.75,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
094,30,96.1,-500.0,103.8,98.55,-500.0,95.4,-500.0,SAFE,DESTROYED,SAFE,SAFE,DESTROYED,SAFE,DESTROYED
095,8,94.35,103.45,95.75,99.25,94.0,92.95,96.1,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
006,3,89.8,41.8,96.45,102.05,103.1,91.55,96.1,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
007,12,99.6,59.5,92.6,98.55,94.0,103.1,103.8,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
008,32,97.85,-210.2,101.7,97.15,100.65,95.05,96.45,SAFE,DESTROYED,SAFE,SAFE,SAFE,SAFE,SAFE
009,2,102.05,56.5,98.9,97.5,99.25,96.1,98.2,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
